Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,class
,,,91.73097229003906,0.8954049944877625,15072.0,,0
14634.0,501.12200927734375,214.10678100585935,,0.9121180772781372,,0.6932588219642639,0
13176.0,458.3429870605469,193.3373870849609,87.44839477539062,0.8918609023094177,13368.0,0.640669047832489,0
14688.0,507.1669921875,211.74337768554688,,0.9066908955574036,,0.6460239291191101,0
13479.0,477.0159912109375,200.0530548095703,86.6502914428711,0.9013283252716064,13786.0,0.6578972935676575,0
15757.0,509.281005859375,,98.3361358642578,0.8803234696388245,,0.5897080898284912,0
16405.0,,221.61251831054688,95.43670654296876,,16837.0,0.6588882803916931,0
14534.0,,196.65081787109372,95.0506820678711,0.8754285573959351,14932.0,0.6496513485908508,0
13485.0,471.5700073242188,198.27264404296875,87.72728729248047,0.8967893123626709,13734.0,0.5723198652267456,0
14930.0,499.9249877929688,212.24581909179688,,0.90560644865036,15248.0,0.6243727207183838,0
,496.58599853515625,204.5341339111328,92.97486877441406,0.8907115459442139,,,0
,522.739990234375,,91.05709075927734,,16240.0,,0
,479.677001953125,,,0.8906388878822327,14434.0,0.7812187671661377,0
13500.0,476.9150085449219,202.5466766357422,85.40547180175781,0.9067548513412476,,0.7177033424377441,0
,496.9460144042969,213.5440216064453,86.16077423095703,0.9149883985519408,14678.0,0.6668370962142944,0
15209.0,496.5650024414063,214.05007934570312,91.0263214111328,0.9050725698471068,15395.0,0.5693695545196533,0
15238.0,496.8710021972656,208.5317840576172,93.82839965820312,0.8930549025535583,15487.0,0.7323144674301147,0
,480.4660034179688,,,0.914210557937622,13732.0,0.595634937286377,0
13699.0,480.72900390625,197.97091674804688,,0.8908207416534424,14178.0,0.6720467209815979,0
13921.0,481.9930114746094,,,0.9013131856918336,14210.0,0.5613306164741516,0
14405.0,,204.4301300048828,,,,0.7637857794761658,0
,472.96099853515625,199.94078063964844,86.68286895751953,0.9011330008506776,13685.0,0.7948306798934937,0
15043.0,498.2990112304688,206.0117034912109,,0.8879156708717346,15414.0,,0
14590.0,496.1719970703125,212.1007537841797,88.60240936279297,,14883.0,0.5714845061302185,0
13237.0,466.00299072265625,,85.7095718383789,0.9013531804084778,13445.0,,0
,,216.87326049804688,,0.895197868347168,16748.0,0.6486248970031738,0
,,199.34185791015625,85.38957214355469,0.9036093950271606,13431.0,0.6015582084655762,0
13328.0,473.04400634765625,201.39886474609372,85.25860595703125,0.9059745669364928,13588.0,0.7800995111465454,0
14945.0,493.1080017089844,,95.07941436767578,,,0.7399980425834656,0
13130.0,,,86.20711517333984,,13462.0,0.5748183131217957,0
13414.0,479.9010009765625,203.08596801757807,85.73687744140625,0.9065164923667908,13735.0,0.7140423655509949,0
,507.4289855957031,206.07073974609372,,0.8723244667053223,16457.0,0.605413556098938,0
11827.0,455.2210083007813,194.78445434570312,78.43153381347656,0.9153504967689514,12212.0,,0
14479.0,475.9249877929688,200.55194091796875,92.17806243896484,0.8881146907806396,14696.0,0.7114288806915283,0
14306.0,482.24798583984375,197.685791015625,94.0561065673828,0.8795611262321472,14667.0,,0
14415.0,488.12200927734375,,91.03472900390624,,14758.0,0.6741021275520325,0
14415.0,490.0660095214844,206.53924560546875,90.01753234863281,0.9000254273414612,14671.0,0.653326690196991,0
14524.0,480.2120056152344,,,,14808.0,0.6112794876098633,0
13780.0,,221.722900390625,79.95213317871094,0.9327225685119628,14010.0,0.5507814288139343,0
12768.0,464.8200073242188,195.38815307617188,84.35991668701172,0.9019906520843506,13085.0,0.5829870700836182,0
13047.0,486.3689880371094,213.1944732666016,79.28887176513672,0.9282693266868592,13621.0,0.6154245138168335,0
