Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
7_post,1,"[0.98339957 0.58493865 0.75523806 0.97467095 0.55033934 0.6840681
 0.7738711  0.6393009  0.69484985 0.9374276  0.8289276  0.3994147
 0.73703086 0.3167932  0.8085694  0.75052845 0.5985889  0.6035244 ]","[0.9744743  0.1395057  0.6547324  0.9756792  0.5872341  0.43244597
 0.87460595 0.6223603  0.82296157 0.94554293 0.7412417  0.30955386
 0.84238845 0.26746252 0.7375696  0.83666867 0.58290917 0.6265471 ]","[0.6235372  0.3425995  0.42935723 0.67299676 0.6281487  0.6692599
 0.56152415 0.54863    0.629225   0.71718127 0.4030063  0.4186895
 0.5682375  0.6304299  0.45879993 0.64728224 0.55585605 0.4660437 ]","[0.9767378  0.9759044  0.30289894 0.9411161  0.6041169  0.02939095
 0.9628594  0.3548822  0.704117   0.9936845  0.2908708  0.3761582
 0.6875747  0.16245696 0.49750754 0.8359971  0.80674547 0.87088734]","[0.9709227  0.34069645 0.819851   0.9596129  0.8146616  0.51504624
 0.8084622  0.6358782  0.77348083 0.9453547  0.77889    0.68157375
 0.7826347  0.37843207 0.77106476 0.7866389  0.4987086  0.6342541 ]"
7_post,2,"[0.6112223  0.53781384 0.7132087  0.502072   0.00659746 0.6405597
 0.70557445 0.9931513  0.70404404 0.6587535  0.3913092  0.49435702
 0.6299542  0.96364725 0.99159616 0.9965898  0.5880694  0.9740737 ]","[0.64772296 0.45350417 0.7371669  0.528935   0.07577869 0.6916879
 0.7068437  0.96547323 0.81961167 0.71751857 0.61302567 0.45046964
 0.67224854 0.76176083 0.9171728  0.9663822  0.6092997  0.79032665]","[0.55270106 0.6275888  0.6656961  0.56430864 0.6299427  0.55703676
 0.44551325 0.63706046 0.5443343  0.39762318 0.6086114  0.6623319
 0.5780342  0.62981004 0.637716   0.56910175 0.4620538  0.5920595 ]","[0.3892754  0.74621993 0.5027984  0.92045915 0.62294716 0.26791495
 0.6635396  0.79141366 0.87492794 0.26791495 0.82683516 0.79403335
 0.9487458  0.96623045 0.9768481  0.95242184 0.3892754  0.21764334]","[0.42172804 0.5081888  0.6842403  0.7473435  0.11856759 0.59361136
 0.56539047 0.8737472  0.8230232  0.80528927 0.7149161  0.6994068
 0.7532557  0.7972141  0.94921833 0.93541217 0.6110199  0.9090308 ]"
7_post,3,"[0.57343054 0.5607686  0.80174124 0.6525833  0.8943482  0.34304136
 0.5776131  0.6735471  0.6410404  0.78754306 0.5453528  0.6798499
 0.7771359  0.24155758 0.14974874 0.8003906  0.3005559  0.67325765]","[0.52693754 0.7412447  0.6370887  0.77509326 0.78031296 0.57478154
 0.6564076  0.7040089  0.85644776 0.8543028  0.6146137  0.70135874
 0.7452042  0.6105172  0.0681534  0.502139   0.6124683  0.7611934 ]","[0.4186905  0.67170054 0.68755263 0.6319894  0.68887824 0.5219722
 0.6230508  0.659748   0.6208681  0.567132   0.5127641  0.74314547
 0.7147138  0.54776245 0.5017731  0.7008469  0.36177403 0.73139954]","[0.7613514  0.92194825 0.92427945 0.18872611 0.7100819  0.516754
 0.516754   0.16907603 0.18872611 0.57132787 0.92427945 0.9006728
 0.6892657  0.94271487 0.08934821 0.50343823 0.8811055  0.6831631 ]","[0.7186875  0.6663923  0.8472912  0.7618869  0.88144535 0.5115162
 0.6474522  0.71852404 0.82151765 0.7312526  0.62942    0.80707633
 0.81830484 0.36726317 0.05668212 0.7966862  0.42689168 0.62924165]"
7_post,4,"[0.89727145 0.8589312  0.4732245  0.85162383 0.89190894 0.03295457
 0.6719211  0.8168868  0.74509835 0.81302625 0.8264042  0.5623184
 0.1978547  0.8761758  0.7709048  0.9052085  0.54677445 0.22363795]","[0.92639226 0.760919   0.48150927 0.638216   0.8197208  0.00552595
 0.60290265 0.796967   0.76896536 0.80284387 0.8879123  0.58567065
 0.6213779  0.6746807  0.5438863  0.8146429  0.6019095  0.05756122]","[0.7360705  0.7790374  0.5122365  0.73782444 0.7591304  0.15559615
 0.64007163 0.7022192  0.7654971  0.5356954  0.42162013 0.57447225
 0.5060711  0.7363133  0.51898414 0.54806715 0.58369946 0.36163467]","[0.9324119  0.90214664 0.48931986 0.9653766  0.79506195 0.18406223
 0.8694871  0.9385689  0.899393   0.8628346  0.6164679  0.37594965
 0.4321832  0.8694871  0.37535655 0.9495348  0.5929005  0.14425538]","[0.82636654 0.7707018  0.75709236 0.84016305 0.85198873 0.00344218
 0.7438474  0.7930736  0.8155052  0.7806514  0.53439254 0.6875648
 0.6105869  0.79464734 0.7064664  0.7640207  0.6953847  0.027133  ]"
7_post,5,"[0.5927103  0.7135376  0.7588306  0.87811756 0.22142626 0.30139253
 0.7847261  0.67453384 0.87866575 0.7057605  0.75617844 0.47046694
 0.50688505 0.91764104 0.5639913  0.85540295 0.44366807 0.73804194]","[0.85015225 0.81478536 0.743347   0.6925801  0.43759587 0.7472903
 0.74959505 0.91156524 0.84447145 0.8062395  0.7912427  0.07252949
 0.59446174 0.81866145 0.6938033  0.90191036 0.65114945 0.71937937]","[0.7128097  0.5930627  0.50194067 0.54327124 0.6035569  0.7280598
 0.53082967 0.69805765 0.60355115 0.5488061  0.6522468  0.46001676
 0.7138839  0.54581517 0.63988256 0.6149257  0.6584878  0.50023043]","[0.92678803 0.45352495 0.76293766 0.42486313 0.75392354 0.7480831
 0.5838652  0.8751389  0.88643205 0.45352495 0.5832554  0.48056653
 0.83063906 0.9090718  0.5608811  0.6978239  0.8512351  0.5665444 ]","[0.70319223 0.8013055  0.8249477  0.81837595 0.2872504  0.46719667
 0.71741664 0.9448846  0.88060534 0.8177253  0.8721828  0.12751463
 0.5795519  0.88237774 0.87009233 0.94109505 0.65804917 0.8192243 ]"
7_post,6,"[0.7359217  0.8787624  0.8337238  0.90520996 0.82900757 0.82757777
 0.64679253 0.88870263 0.8094473  0.9190319  0.51364315 0.630589
 0.6173853  0.74311465 0.6673273  0.77695775 0.5772258  0.7688231 ]","[0.6000651  0.86759824 0.7457016  0.88481796 0.8444024  0.9400564
 0.5799206  0.8810889  0.7159069  0.8835306  0.34397158 0.5823448
 0.43317533 0.72460395 0.5167212  0.73283666 0.5973744  0.9079297 ]","[0.41175815 0.67173135 0.47321087 0.55027896 0.614451   0.65155965
 0.7582368  0.6083517  0.64342684 0.71281886 0.41707754 0.5007997
 0.36749527 0.68736386 0.40644094 0.7413056  0.778215   0.6927578 ]","[0.67718136 0.954684   0.9001061  0.8930989  0.81907904 0.8887535
 0.5741579  0.72861695 0.72861695 0.63556963 0.81409514 0.72026074
 0.40851158 0.72026074 0.8694203  0.8900125  0.7131487  0.9500061 ]","[0.76199514 0.91419923 0.85253704 0.9195843  0.86042774 0.9421587
 0.7317208  0.82662696 0.67121845 0.86205214 0.5257668  0.55838186
 0.5684005  0.7664025  0.75763005 0.76213336 0.7800993  0.90639246]"
7_post,7,"[0.4605788  0.46002665 0.5641091  0.86275184 0.91494346 0.7106446
 0.63762224 0.8090244  0.8841196  0.404408   0.5097336  0.95996445
 0.8765192  0.45733148 0.4223242  0.32276145 0.61324424 0.13593003]","[0.36385605 0.4159816  0.36312497 0.9041615  0.83663803 0.6173407
 0.46511728 0.38555658 0.58401704 0.45855945 0.5178508  0.92525715
 0.7790377  0.8345025  0.49848363 0.4171947  0.90805113 0.07552204]","[0.46628994 0.56707066 0.4889027  0.59267163 0.71485347 0.6136791
 0.44495308 0.52384335 0.66625524 0.5491136  0.48608392 0.71545506
 0.56841785 0.73419046 0.39561802 0.49430117 0.76358694 0.4143869 ]","[0.81796545 0.5547539  0.6621256  0.68946373 0.8898972  0.6966829
 0.57483757 0.9242593  0.95508033 0.57483757 0.4634665  0.9497542
 0.6844828  0.67850596 0.5852047  0.6302835  0.4076644  0.03524416]","[0.6677492  0.54014844 0.53536445 0.8818436  0.81110364 0.76072335
 0.4374411  0.5408969  0.72641826 0.46672392 0.36700964 0.9374488
 0.81320804 0.8401331  0.41116348 0.56196994 0.9148867  0.14799836]"
7_post,8,"[0.05893121 0.5835548  0.68945587 0.89942914 0.7305102  0.8995274
 0.90076274 0.35153332 0.49754685 0.8343478  0.9242896  0.93341064
 0.82041734 0.26879352 0.6860457  0.55170447 0.8989913  0.723751  ]","[0.01484417 0.8091245  0.84417576 0.87935615 0.55158263 0.92932326
 0.9536137  0.07101284 0.6301477  0.6383148  0.73118234 0.8086021
 0.7869835  0.15576823 0.6527279  0.63735986 0.8539554  0.89494324]","[0.40618205 0.57313854 0.5881134  0.5937611  0.63357294 0.5936433
 0.6004286  0.4234159  0.56900424 0.61834973 0.64704657 0.5919473
 0.5542848  0.5607572  0.4720773  0.6340313  0.5110915  0.6743921 ]","[0.02393069 0.6494863  0.67159367 0.87472385 0.6505699  0.77641726
 0.93424934 0.01263616 0.6486594  0.86160433 0.51726013 0.94752944
 0.4632678  0.646748   0.9696788  0.5569616  0.74052495 0.7301858 ]","[0.04196627 0.72602814 0.7454171  0.8293403  0.6500155  0.9269767
 0.87421966 0.09162777 0.48592585 0.7581645  0.9102077  0.88380986
 0.56332916 0.5230398  0.67381716 0.51205546 0.7833813  0.5942944 ]"
7_post,9,"[0.68170744 0.60898846 0.69263476 0.05519024 0.9310931  0.67833567
 0.68284416 0.61570096 0.64974475 0.8054916  0.67234844 0.68249685
 0.6828213  0.7178688  0.7720317  0.6088569  0.5830102  0.8029689 ]","[0.73936975 0.5906762  0.74068844 0.29648164 0.903159   0.70712876
 0.5712115  0.6723887  0.538397   0.7942081  0.55267787 0.68245465
 0.7317876  0.67077917 0.67132884 0.67236245 0.3523761  0.82273364]","[0.51924306 0.62819576 0.5488165  0.6350356  0.69425225 0.5851714
 0.5014838  0.4618446  0.6604471  0.67487866 0.52740854 0.60012305
 0.5283923  0.57737446 0.562925   0.611257   0.50325847 0.55492306]","[0.66316944 0.75606054 0.9023919  0.14595288 0.9145078  0.69308525
 0.7688528  0.7238929  0.690312   0.9023919  0.8884127  0.690312
 0.7298721  0.45827508 0.627124   0.74678034 0.60480565 0.7008063 ]","[0.8279399  0.5973619  0.72876966 0.14775239 0.85503775 0.58111775
 0.7261989  0.74594223 0.65079165 0.667881   0.68454033 0.7501157
 0.80042374 0.7189757  0.7334583  0.7632692  0.5733921  0.8973507 ]"
7_post,10,"[0.39756286 0.6294821  0.53754747 0.84322345 0.67414665 0.93238777
 0.7135144  0.4722874  0.52125436 0.29722393 0.7273963  0.68799484
 0.4557432  0.4812753  0.772069   0.58179235 0.9264023  0.6995206 ]","[0.4334522  0.6087021  0.6200887  0.67165285 0.6716129  0.78126216
 0.60617906 0.46483967 0.5383757  0.56465286 0.5504743  0.764306
 0.6485535  0.6740727  0.6810511  0.7819165  0.7145399  0.73329854]","[0.56862915 0.6311462  0.50614357 0.66415846 0.5792381  0.6162106
 0.48615193 0.74148303 0.46346965 0.40723607 0.60518014 0.6126479
 0.58053887 0.6866968  0.65270096 0.4420118  0.5577321  0.60328513]","[0.4593756  0.57453567 0.4593756  0.40229583 0.8268569  0.6432591
 0.47777608 0.33855256 0.4356092  0.5449584  0.5535244  0.580998
 0.7381367  0.45097288 0.5923274  0.8356313  0.9117986  0.81584936]","[0.4519726  0.63750577 0.48929098 0.8654391  0.7554098  0.8809516
 0.46183437 0.616169   0.36108288 0.41203713 0.4550408  0.7120836
 0.74090385 0.543292   0.5352902  0.8350825  0.7993323  0.72521025]"
