Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
23_ai4i,1,[0.10049011 0.11634183 0.06670532 ... 0.07217695 0.09736321 0.09439421],[0.11499206 0.1222008  0.08929171 ... 0.09339651 0.1008968  0.09713969],[0.10199036 0.14097746 0.1382538  ... 0.07347371 0.10107506 0.09757467],[0.11184128 0.11717761 0.08930914 ... 0.0953848  0.09588642 0.10560451],[0.11179135 0.12361484 0.08052937 ... 0.08099446 0.09122587 0.09428953]
23_ai4i,2,[0.11851975 0.103311   0.08605981 ... 0.09177159 0.12477703 0.0994118 ],[0.10198781 0.09658919 0.08164402 ... 0.07899415 0.09991205 0.0869905 ],[0.11536468 0.09479016 0.09408331 ... 0.08776358 0.1376774  0.10995617],[0.09028755 0.10174627 0.07355965 ... 0.09539624 0.12445737 0.08952007],[0.09718566 0.09484953 0.08046234 ... 0.07728712 0.09816112 0.09003945]
23_ai4i,3,[0.087397   0.12572706 0.13390027 ... 0.07899822 0.08361039 0.13001911],[0.09714255 0.11894111 0.13027893 ... 0.11184892 0.13022856 0.11925552],[0.08067772 0.09641266 0.11231934 ... 0.09100502 0.10443316 0.1062764 ],[0.08741611 0.10218235 0.10887475 ... 0.08237571 0.09423416 0.08462824],[0.07656981 0.12295111 0.13252711 ... 0.08878461 0.12716797 0.11320035]
23_ai4i,4,[0.08595467 0.09851369 0.10259955 ... 0.10058398 0.09024112 0.09472746],[0.09956262 0.10611787 0.10407616 ... 0.10687456 0.09611443 0.09516252],[0.096309   0.11132548 0.07972429 ... 0.13091864 0.08678354 0.10730218],[0.09686167 0.08749899 0.08650048 ... 0.10880864 0.09709326 0.10094815],[0.07151246 0.10409589 0.10523287 ... 0.10515266 0.097847   0.07546332]
23_ai4i,5,[0.12103615 0.09632712 0.08464791 ... 0.09934945 0.08815812 0.09017592],[0.12428348 0.12043626 0.08680716 ... 0.1122302  0.08383102 0.08541258],[0.11237687 0.09384892 0.08089908 ... 0.11744819 0.07303878 0.06776685],[0.12127499 0.10530221 0.10051187 ... 0.11996367 0.10877775 0.10483062],[0.1283934  0.12731595 0.08946591 ... 0.11013909 0.08499745 0.09031981]
23_ai4i,6,[0.09660342 0.11246932 0.09724458 ... 0.11067459 0.11439636 0.11746477],[0.08058649 0.08917461 0.08236269 ... 0.09921747 0.10415558 0.10633767],[0.12283809 0.12065222 0.09115701 ... 0.09877333 0.08854062 0.08929045],[0.14163132 0.13200612 0.118698   ... 0.11760304 0.10695706 0.13361113],[0.08836618 0.10324503 0.07933733 ... 0.10345596 0.10655347 0.12151866]
23_ai4i,7,[0.11566938 0.10963305 0.12789024 ... 0.11686513 0.1075205  0.12254754],[0.116455   0.11495824 0.11183676 ... 0.09672281 0.10962447 0.10545283],[0.10264815 0.0825457  0.07888497 ... 0.09605479 0.09219138 0.08971468],[0.10908431 0.12284849 0.13167836 ... 0.09361745 0.09122553 0.11227697],[0.11342771 0.11644194 0.11323683 ... 0.105831   0.10480077 0.11208828]
23_ai4i,8,[0.10582572 0.09505986 0.08668432 ... 0.09499468 0.1119558  0.09627867],[0.11534072 0.09518351 0.10959627 ... 0.11139767 0.12606171 0.1114537 ],[0.15032287 0.08656763 0.11584415 ... 0.12414926 0.14418438 0.11864561],[0.1353188  0.10207353 0.10832553 ... 0.13777374 0.12791461 0.1261271 ],[0.09184323 0.08181633 0.1000762  ... 0.10767959 0.10932714 0.098657  ]
23_ai4i,9,[0.09223782 0.10615949 0.11253641 ... 0.09777839 0.09102732 0.09472971],[0.117938   0.11848407 0.12251145 ... 0.10445147 0.07484014 0.09680199],[0.07067332 0.08866373 0.0881781  ... 0.07358759 0.08134861 0.07719825],[0.10577103 0.10688881 0.11085583 ... 0.09821611 0.09728989 0.08795891],[0.09394733 0.14681241 0.17309834 ... 0.12698345 0.11151564 0.10653927]
23_ai4i,10,[0.12767301 0.10336886 0.13582581 ... 0.10220852 0.09873153 0.08516788],[0.11517748 0.11833005 0.12576288 ... 0.1029148  0.09715071 0.06820781],[0.13124762 0.1001009  0.14403784 ... 0.08769834 0.09247451 0.1032733 ],[0.08384204 0.0867635  0.08981891 ... 0.07709469 0.07950488 0.08323935],[0.09331787 0.09303953 0.10287187 ... 0.09407254 0.09411489 0.11085577]
23_ai4i,11,[0.15493627 0.11446178 0.11018434 ... 0.1617074  0.1043313  0.10928607],[0.12082133 0.11746912 0.10857879 ... 0.124968   0.09269889 0.11252204],[0.14444877 0.09581176 0.11366954 ... 0.12224035 0.08780736 0.10297011],[0.11077595 0.1112169  0.08840447 ... 0.10843635 0.10717595 0.10507388],[0.13294747 0.11430677 0.11137249 ... 0.12500836 0.10687345 0.11587638]
23_ai4i,12,[0.10650309 0.10755143 0.10688797 ... 0.08781553 0.08683876 0.08734851],[0.10879067 0.10758874 0.11087244 ... 0.08619829 0.08887649 0.08590352],[0.08877873 0.08978802 0.10590827 ... 0.08607817 0.0924607  0.0883055 ],[0.09968971 0.10370452 0.11847216 ... 0.09462536 0.09213185 0.09177419],[0.10809964 0.10407211 0.10942914 ... 0.0945937  0.08533047 0.08408681]
23_ai4i,13,[0.09261064 0.09468061 0.10005883 ... 0.10262472 0.10084948 0.09383125],[0.07337532 0.07322175 0.09538947 ... 0.08924629 0.07978901 0.07429424],[0.08590948 0.10741927 0.1091954  ... 0.1022298  0.08866565 0.0811803 ],[0.08201017 0.10716037 0.09339065 ... 0.11164665 0.10008392 0.08733957],[0.12888815 0.09633    0.10552378 ... 0.06309597 0.10169236 0.09989293]
23_ai4i,14,[0.0828383  0.10985269 0.07943417 ... 0.08753472 0.07821268 0.09052979],[0.08566889 0.10548972 0.07638173 ... 0.08679979 0.08015288 0.08941233],[0.09211291 0.10852078 0.10817101 ... 0.08917793 0.09033496 0.09089936],[0.07431961 0.11662834 0.09793124 ... 0.06756387 0.08556208 0.09429875],[0.10199285 0.125745   0.09246127 ... 0.10188384 0.10389064 0.10613158]
23_ai4i,15,[0.08186151 0.08129324 0.10392192 ... 0.1201159  0.09570584 0.09202292],[0.07968034 0.07868362 0.10997379 ... 0.12102345 0.10105932 0.11088321],[0.09499241 0.09069424 0.10815953 ... 0.12053385 0.13136311 0.09562061],[0.11007426 0.08904741 0.11285945 ... 0.12700488 0.09839872 0.11852603],[0.08395556 0.08454717 0.11103258 ... 0.12347727 0.09922271 0.11695787]
23_ai4i,16,[0.12534533 0.09784602 0.11197116 ... 0.11344037 0.12674132 0.141791  ],[0.103095   0.09958463 0.10177898 ... 0.09802516 0.10249539 0.10420582],[0.12353547 0.09312601 0.08973842 ... 0.09750115 0.10973908 0.1301082 ],[0.12446455 0.09606202 0.09630305 ... 0.10533595 0.12142857 0.1194371 ],[0.0947398  0.13113286 0.150047   ... 0.10028328 0.1087567  0.09247447]
23_ai4i,17,[0.0946658  0.12675244 0.09696159 ... 0.09026056 0.1130161  0.09407124],[0.08868284 0.10017925 0.07316412 ... 0.06231274 0.0909154  0.0859706 ],[0.09865262 0.10463759 0.09525162 ... 0.08201112 0.11245652 0.10087503],[0.1011596  0.13422109 0.10095856 ... 0.08749146 0.13157931 0.09794058],[0.09709632 0.13043147 0.09781221 ... 0.09682134 0.11196479 0.12194833]
23_ai4i,18,[0.09379878 0.10729029 0.13627388 ... 0.101781   0.11916675 0.10455098],[0.08864328 0.10488836 0.11939377 ... 0.08351155 0.11161409 0.09461699],[0.10031845 0.1352362  0.12464877 ... 0.11732707 0.12653157 0.14268303],[0.09544262 0.14227839 0.13058388 ... 0.09295624 0.09574571 0.0942684 ],[0.09469264 0.10397874 0.10214905 ... 0.08519649 0.10859721 0.09222701]
23_ai4i,19,[0.09233464 0.08386239 0.11433569 ... 0.10187744 0.08217137 0.06177795],[0.10565217 0.09852155 0.11203624 ... 0.10941868 0.0987143  0.09526627],[0.09640651 0.10629422 0.11738712 ... 0.0921788  0.08342302 0.09300189],[0.11508856 0.08838902 0.1293317  ... 0.11265714 0.0903484  0.08474623],[0.11542879 0.09324688 0.10804208 ... 0.11290363 0.09718475 0.08381897]
23_ai4i,20,[0.10492974 0.10211077 0.08951714 ... 0.0989378  0.08922639 0.10707942],[0.1310317  0.0935586  0.08652742 ... 0.09366024 0.08932679 0.13311966],[0.11437631 0.11301225 0.09323288 ... 0.10488652 0.09887608 0.11291256],[0.10713569 0.10346513 0.08444441 ... 0.09958473 0.09348864 0.1010395 ],[0.12332515 0.09973726 0.09521061 ... 0.11437394 0.11230092 0.12548487]
23_ai4i,21,[0.10388537 0.1022534  0.08894771 ... 0.09404624 0.09583604 0.09747493],[0.12546821 0.1271895  0.12323763 ... 0.08586848 0.10178279 0.10847305],[0.11071024 0.12158506 0.09003801 ... 0.07193956 0.10250096 0.11276525],[0.10065816 0.11145718 0.10306998 ... 0.0915295  0.10044884 0.09351017],[0.13902064 0.14309372 0.14170933 ... 0.08824036 0.13097882 0.13585016]
23_ai4i,22,[0.10848481 0.10725863 0.08293012 ... 0.10993286 0.10655608 0.10450883],[0.10042256 0.1444053  0.08969422 ... 0.10107162 0.09926282 0.09592669],[0.11437176 0.1863662  0.09932489 ... 0.09088698 0.08500944 0.14877957],[0.09505439 0.10065202 0.09258446 ... 0.09922011 0.08464712 0.09576865],[0.10784127 0.11422053 0.10334574 ... 0.11213903 0.11038314 0.08920506]
23_ai4i,23,[0.07307082 0.08602205 0.07372367 ... 0.06841259 0.09778696 0.08225724],[0.09556648 0.09724247 0.08289362 ... 0.08285584 0.08533278 0.08419031],[0.09608188 0.10759213 0.07225444 ... 0.08967879 0.08974366 0.08433761],[0.10037374 0.09799731 0.0963121  ... 0.09063954 0.10086982 0.09134717],[0.09793743 0.11274195 0.09033809 ... 0.08737701 0.09189568 0.09537556]
23_ai4i,24,[0.10271869 0.08931494 0.10151166 ... 0.11119033 0.11385342 0.06151752],[0.10024726 0.11822824 0.11706791 ... 0.1076017  0.11586089 0.11773094],[0.10827447 0.10159931 0.10790523 ... 0.11497904 0.12203692 0.13807783],[0.11171436 0.08992647 0.11989292 ... 0.11997715 0.11845256 0.07901149],[0.09976134 0.10515118 0.12457254 ... 0.11287349 0.12124346 0.10340983]
