age,wife education,husband education,number,wife religion,wife working,husband occupation,standard,media,class
24,2,3,3,1,1,2,3,0,True
45,1,3,10,1,1,3,4,0,True
43,2,3,7,1,1,3,4,0,True
42,3,2,9,1,1,3,3,0,True
36,3,3,8,1,1,3,2,0,True
19,4,4,0,1,1,3,3,0,True
38,2,3,6,1,1,3,2,0,True
21,3,3,1,1,0,3,2,0,True
27,2,3,3,1,1,3,4,0,True
45,1,1,8,1,1,2,2,1,True
38,1,3,2,1,0,3,3,1,True
42,1,4,4,1,1,1,3,0,True
44,4,4,1,1,0,1,4,0,True
42,2,4,1,1,0,3,3,0,True
38,3,4,2,1,1,2,3,0,True
26,2,4,0,1,1,4,1,0,True
48,1,1,7,1,1,2,4,0,True
39,2,2,6,1,1,2,4,0,True
37,2,2,8,1,1,2,3,0,True
39,2,1,5,1,1,2,1,1,True
26,3,4,1,1,0,4,1,0,True
24,3,4,0,1,0,3,1,0,True
46,4,4,1,0,1,1,4,0,True
39,4,4,1,1,1,1,4,0,True
48,4,4,5,1,1,1,4,0,True
40,2,4,8,1,1,3,3,0,True
38,4,4,1,1,0,1,4,0,True
29,4,4,0,1,0,1,4,0,True
24,4,4,0,1,0,2,2,0,True
43,1,2,8,1,1,2,4,0,True
31,3,4,2,1,1,1,4,0,True
31,4,4,2,1,1,3,2,0,True
26,2,4,0,1,0,1,2,0,True
33,2,2,2,1,1,3,1,0,True
24,2,3,1,1,1,3,3,0,True
42,1,3,9,1,1,3,2,1,True
43,1,2,8,1,0,3,1,0,True
25,3,3,4,1,1,3,2,0,True
42,2,2,3,1,1,3,4,0,True
28,2,2,1,1,1,2,4,0,True
28,1,1,3,1,1,3,1,0,True
47,2,3,0,1,0,1,3,0,True
48,2,4,2,1,1,1,3,0,True
40,4,4,2,0,1,1,4,0,True
28,2,2,1,1,1,3,2,0,True
25,1,4,1,1,1,2,1,0,True
32,4,4,2,1,1,2,3,0,True
45,4,4,0,1,1,2,4,0,True
26,4,4,1,1,1,1,4,0,True
26,4,4,0,1,0,1,4,0,True
31,4,4,0,1,0,1,4,0,True
49,4,4,7,0,1,2,4,0,True
40,3,4,8,1,1,3,3,0,True
34,4,4,1,0,0,2,3,0,True
36,2,4,5,1,1,2,3,0,True
20,2,2,2,1,1,2,2,1,True
43,4,4,5,1,0,1,4,0,True
37,3,4,7,1,1,2,1,0,True
21,2,3,0,1,1,3,4,0,True
49,4,4,6,1,1,1,2,0,True
42,3,3,10,1,1,3,3,0,True
20,2,3,1,1,1,2,3,0,True
47,1,2,2,1,0,1,3,0,True
22,2,3,1,1,1,2,1,0,True
27,2,4,1,1,0,1,3,0,True
24,2,4,1,1,1,3,1,0,True
44,4,2,8,1,1,3,3,0,True
30,2,3,3,1,1,3,1,0,True
23,3,4,2,1,1,3,4,0,True
